laborant_ID,gras_ID,graslengte,grasbreedte,locatie
6306,G1_01,615,2,Peins
6306,G1_02,395,3,Peins
6306,G1_03,880,1.5,Peins
6306,G1_04,775,2,Peins
6306,G1_05,300,1,Peins
6306,G1_06,615,0.5,Peins
6306,G1_07,1390,1.5,Peins
6306,G1_08,606,1,Peins
6306,G1_09,490,0.75,Peins
6306,G1_10,200,1,Peins
6306,G1_11,205,1.1,Peins
6306,G1_12,360,2,Peins
6306,G1_13,160,0.5,Peins
6306,G1_14,845,1,Peins
6306,G1_15,430,1,Peins
6306,G1_16,730,1.1,Peins
6306,G1_17,405,2,Peins
6306,G1_18,650,1.2,Peins
6306,G1_19,430,2.5,Peins
6306,G1_20,400,1,Peins
